"","symbol","company_name","trading_name","isin_code","income_variable","year","value"
"43",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Zakat",2018,"9162"
"44",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Zakat",2017,"10846"
"45",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Net Income",2020,"450973"
"46",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Net Income",2019,"344673"
"47",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Net Income",2018,"302601"
"48",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Net Income",2017,"449497"
"49",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Balance First Period",2020,"529540"
"50",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Balance First Period",2019,"738601"
"51",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Balance First Period",2018,"939269"
"52",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Balance First Period",2017,"719705"
"53",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Reserves",2020,"-45097"
"54",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Reserves",2019,"-34467"
"55",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Reserves",2018,"30260"
"56",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Reserves",2017,"49933"
"57",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Cash Dividends",2020,"-405000"
"58",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Cash Dividends",2019,"-405000"
"59",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Cash Dividends",2018,"135000"
"60",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Cash Dividends",2017,"180000"
"61",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Other Distributions",2020,"-7382"
"62",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Other Distributions",2019,"-114267"
"63",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Other Distributions",2018,"338009"
"64",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Other Distributions",2017,"-"
"65",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Balance End Period",2020,"523034"
"66",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Balance End Period",2019,"529540"
"67",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Balance End Period",2018,"738601"
"68",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Balance End Period",2017,"939269"
"69",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","All figures are in",2020,"Thousands"
"70",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","All figures are in",2019,"Thousands"
"71",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","All figures are in",2018,"Thousands"
"72",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","All figures are in",2017,"Thousands"
"73",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Currency",2020,"SAR"
"74",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Currency",2019,"SAR"
"75",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Currency",2018,"SAR"
"76",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Currency",2017,"SAR"
"77",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Last Update Date",2020,"2021-03-29"
"78",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Last Update Date",2019,"2020-04-09"
"79",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Last Update Date",2018,"2019-03-07"
"80",4001,"Abdullah Al Othaim Markets Co.","A.OTHAIM MARKET","SA1230K1UGH7","Last Update Date",2017,"2018-05-10"
"81",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Sales",2021,"231177"
"82",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Sales",2020,"297072"
"83",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Sales",2019,"316855"
"84",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Sales",2018,"302867"
"85",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Sales Cost",2021,"182926"
"86",4191,"Abdullah Saad Mohammed Abo Moati for Bookstores Co.","ABO MOATI","SA14TGAI1FH7","Sales Cost",2020,"236905"
